MCS,streams,modulation,coding,channel,800 ns GI,400 ns GI
0,1,BPSK,1/2,20,6.5,7.2
1,1,QPSK,1/2,20,13,14.4
2,1,QPSK,3/4,20,19.5,21.7
3,1,16-QAM,1/2,20,26,28.9
4,1,16-QAM,3/4,20,39,43.3
5,1,64-QAM,2/3,20,52,57.8
6,1,64-QAM,3/4,20,58.5,65
7,1,64-QAM,5/6,20,65,72.2
8,1,256-QAM,3/4,20,78,86.7
9,1,256-QAM,5/6,20,N/A,N/A
0,2,BPSK,1/2,20,13,14.4
1,2,QPSK,1/2,20,26,28.9
2,2,QPSK,3/4,20,39,43.3
3,2,16-QAM,1/2,20,52,57.8
4,2,16-QAM,3/4,20,78,86.7
5,2,64-QAM,2/3,20,104,115.6
6,2,64-QAM,3/4,20,117,130.3
7,2,64-QAM,5/6,20,130,144.4
8,2,256-QAM,3/4,20,156,173.3
9,2,256-QAM,5/6,20,N/A,N/A
0,3,BPSK,1/2,20,19.5,21.7
1,3,QPSK,1/2,20,39,43.3
2,3,QPSK,3/4,20,58.5,65
3,3,16-QAM,1/2,20,78,86.7
4,3,16-QAM,3/4,20,117,130
5,3,64-QAM,2/3,20,156,173.3
6,3,64-QAM,3/4,20,175.5,195
7,3,64-QAM,5/6,20,195,216.7
8,3,256-QAM,3/4,20,234,260
9,3,256-QAM,5/6,20,260,288.9
0,4,BPSK ,1/2 ,20,26,28.8
1,4,QPSK ,1/2 ,20,52,57.6
2,4,QPSK ,3/4 ,20,78,86.8
3,4,16-QAM ,1/2 ,20,104,115.6
4,4,16-QAM ,3/4 ,20,156,173.2
5,4,64-QAM ,2/3 ,20,208,231.2
6,4,64-QAM ,3/4 ,20,234,260
7,4,64-QAM ,5/6 ,20,260,288.8
8,4,256-QAM ,3/4 ,20,312,346.8
9,4,256-QAM ,5/6,20,N/A,N/A 
0,1,BPSK,1/2,40,13.5,15
1,1,QPSK,1/2,40,27,30
2,1,QPSK,3/4,40,40.5,45
3,1,16-QAM,1/2,40,54,60
4,1,16-QAM,3/4,40,81,90
5,1,64-QAM,2/3,40,108,120
6,1,64-QAM,3/4,40,121.5,135
7,1,64-QAM,5/6,40,135,150
8,1,256-QAM,3/4,40,162,180
9,1,256-QAM,5/6,40,180,200
0,2,BPSK,1/2,40,27,30
1,2,QPSK,1/2,40,54,60
2,2,QPSK,3/4,40,81,90
3,2,16-QAM,1/2,40,108,120
4,2,16-QAM,3/4,40,162,180
5,2,64-QAM,2/3,40,216,240
6,2,64-QAM,3/4,40,243,270
7,2,64-QAM,5/6,40,270,300
8,2,256-QAM,3/4,40,324,360
9,2,256-QAM,5/6,40,360,400
0,3,BPSK,1/2,40,40.5,45
1,3,QPSK,1/2,40,81,90
2,3,QPSK,3/4,40,121.5,135
3,3,16-QAM,1/2,40,162,180
4,3,16-QAM,3/4,40,243,270
5,3,64-QAM,2/3,40,324,360
6,3,64-QAM,3/4,40,364.5,405
7,3,64-QAM,5/6,40,405,450
8,3,256-QAM,3/4,40,486,540
9,3,256-QAM,5/6,40,540,600
0,4,BPSK ,1/2 ,40,54,60
1,4,QPSK ,1/2 ,40,108,120
2,4,QPSK ,3/4 ,40,162,180
3,4,16-QAM ,1/2 ,40,216,240
4,4,16-QAM ,3/4 ,40,324,360
5,4,64-QAM ,2/3 ,40,432,480
6,4,64-QAM ,3/4 ,40,486,540
7,4,64-QAM ,5/6 ,40,540,600
8,4,256-QAM ,3/4 ,40,648,720
9,4,256-QAM ,5/6,40,720,800
0,1,BPSK,1/2,80,29.3,32.5
1,1,QPSK,1/2,80,58.5,65
2,1,QPSK,3/4,80,87.8,97.5
3,1,16-QAM,1/2,80,117,130
4,1,16-QAM,3/4,80,175.5,195
5,1,64-QAM,2/3,80,234,260
6,1,64-QAM,3/4,80,263.3,292.5
7,1,64-QAM,5/6,80,292.5,325
8,1,256-QAM,3/4,80,351,390
9,1,256-QAM,5/6,80,390,433.3
0,2,BPSK,1/2,80,58.5,65
1,2,QPSK,1/2,80,117,130
2,2,QPSK,3/4,80,175.5,195
3,2,16-QAM,1/2,80,234,260
4,2,16-QAM,3/4,80,351,390
5,2,64-QAM,2/3,80,468,520
6,2,64-QAM,3/4,80,526.5,585
7,2,64-QAM,5/6,80,585,650
8,2,256-QAM,3/4,80,702,780
9,2,256-QAM,5/6,80,780,866.7
0,3,BPSK,1/2,80,87.8,97.5
1,3,QPSK,1/2,80,175.5,195
2,3,QPSK,3/4,80,263.3,292.5
3,3,16-QAM,1/2,80,351,390
4,3,16-QAM,3/4,80,526.5,585
5,3,64-QAM,2/3,80,702,780
6,3,64-QAM,3/4,80,N/A,N/A
7,3,64-QAM,5/6,80,877.5,975
8,3,256-QAM,3/4,80,1053,1170
9,3,256-QAM,5/6,80,1170,1300
0,4,BPSK ,1/2 ,80,117.2,130
1,4,QPSK ,1/2 ,80,234,260
2,4,QPSK ,3/4 ,80,351.2,390
3,4,16-QAM ,1/2 ,80,468,520
4,4,16-QAM ,3/4 ,80,702,780
5,4,64-QAM ,2/3 ,80,936,1040
6,4,64-QAM ,3/4 ,80,1053.2,1170
7,4,64-QAM ,5/6 ,80,1170,1300
8,4,256-QAM ,3/4 ,80,1404,1560
9,4,256-QAM ,5/6,80,1560,1733.2
0,1,BPSK,1/2,160,58.5,65
1,1,QPSK,1/2,160,117,130
2,1,QPSK,3/4,160,175.5,195
3,1,16-QAM,1/2,160,234,260
4,1,16-QAM,3/4,160,351,390
5,1,64-QAM,2/3,160,468,520
6,1,64-QAM,3/4,160,526.5,585
7,1,64-QAM,5/6,160,585,650
8,1,256-QAM,3/4,160,702,780
9,1,256-QAM,5/6,160,780,866.7
0,2,BPSK,1/2,160,117,130
1,2,QPSK,1/2,160,234,260
2,2,QPSK,3/4,160,351,390
3,2,16-QAM,1/2,160,468,520
4,2,16-QAM,3/4,160,702,780
5,2,64-QAM,2/3,160,936,1040
6,2,64-QAM,3/4,160,1053,1170
7,2,64-QAM,5/6,160,1170,1300
8,2,256-QAM,3/4,160,1404,1560
9,2,256-QAM,5/6,160,1560,1733.4
0,3,BPSK,1/2,160,175.5,195
1,3,QPSK,1/2,160,351,390
2,3,QPSK,3/4,160,526.5,585
3,3,16-QAM,1/2,160,702,780
4,3,16-QAM,3/4,160,1053,1170
5,3,64-QAM,2/3,160,1404,1560
6,3,64-QAM,3/4,160,1579.5,1755
7,3,64-QAM,5/6,160,1755,1950
8,3,256-QAM,3/4,160,2106,2340
9,3,256-QAM,5/6,160,2340,2600
0,4,BPSK ,1/2 ,160,234,260
1,4,QPSK ,1/2 ,160,468,520
2,4,QPSK ,3/4 ,160,702,780
3,4,16-QAM ,1/2 ,160,936,1040
4,4,16-QAM ,3/4 ,160,1404,1560
5,4,64-QAM ,2/3 ,160,1872,2080
6,4,64-QAM ,3/4 ,160,2106,2340
7,4,64-QAM ,5/6 ,160,2340,2600
8,4,256-QAM ,3/4 ,160,2808,3120
9,4,256-QAM ,5/6,160,3120,3466.8
